case_id,workload,mode,repetition,success,total_elapsed_ms,intermediate_bytes,intermediate_count,final_output_bytes,final_checksum,final_materialize_ms,error
prod_heavy_chain,production_heavy,vsimem,6,True,3592.463,242713156,2,161798546,10013,238.865,
prod_heavy_chain,production_heavy,vrt,6,True,2079.722,1337,2,161798546,10013,1779.180,
prod_heavy_chain,production_heavy,geotiff,6,True,2588.695,242713156,2,161798546,10013,0.000,
prod_heavy_chain,production_heavy,vsimem,7,True,3754.710,242713156,2,161798546,10013,330.977,
prod_heavy_chain,production_heavy,geotiff,7,True,2674.206,242713156,2,161798546,10013,0.000,
prod_heavy_chain,production_heavy,vrt,7,True,2074.254,1337,2,161798546,10013,1773.114,
prod_heavy_chain,production_heavy,vrt,8,True,2108.279,1337,2,161798546,10013,1803.572,
prod_heavy_chain,production_heavy,geotiff,8,True,2483.866,242713156,2,161798546,10013,0.000,
prod_heavy_chain,production_heavy,vsimem,8,True,3713.637,242713156,2,161798546,10013,260.703,
prod_heavy_chain,production_heavy,vrt,9,True,1999.844,1337,2,161798546,10013,1733.682,
prod_heavy_chain,production_heavy,vsimem,9,True,3791.611,242713156,2,161798546,10013,242.935,
prod_heavy_chain,production_heavy,geotiff,9,True,2670.150,242713156,2,161798546,10013,0.000,
prod_heavy_chain,production_heavy,vrt,10,True,2117.517,1337,2,161798546,10013,1808.062,
prod_heavy_chain,production_heavy,geotiff,10,True,2580.192,242713156,2,161798546,10013,0.000,
prod_heavy_chain,production_heavy,vsimem,10,True,3823.103,242713156,2,161798546,10013,232.058,
