case_id,workload,mode,repetition,success,total_elapsed_ms,intermediate_bytes,intermediate_count,final_output_bytes,final_checksum,final_materialize_ms,error
mech_light_optical_large,light,geotiff,3,True,29218.096,1909058474,1,1909058474,25882,0.000,
mech_light_optical_large,light,vsimem,3,True,40473.099,1909058474,1,1909058474,25882,2293.838,
mech_light_optical_large,light,vrt,4,True,26455.836,786,1,1909058474,25882,23169.897,
mech_light_optical_large,light,vsimem,4,True,42392.303,1909058474,1,1909058474,25882,2637.182,
mech_light_optical_large,light,geotiff,4,True,29510.434,1909058474,1,1909058474,25882,0.000,
mech_light_optical_large,light,vrt,5,True,27633.094,786,1,1909058474,25882,24214.478,
mech_light_optical_large,light,geotiff,5,True,30464.748,1909058474,1,1909058474,25882,0.000,
mech_light_optical_large,light,vsimem,5,True,43480.629,1909058474,1,1909058474,25882,2223.083,
mech_medium_small,medium,vsimem,1,True,731.773,21127918,1,21127918,9009,25.934,
mech_medium_small,medium,vrt,1,True,301.845,1069,1,21127918,9009,241.258,
mech_medium_small,medium,geotiff,1,True,322.307,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vsimem,2,True,438.291,21127918,1,21127918,9009,36.528,
mech_medium_small,medium,vrt,2,True,304.602,1069,1,21127918,9009,241.700,
mech_medium_small,medium,geotiff,2,True,342.792,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,geotiff,3,True,330.497,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vsimem,3,True,429.407,21127918,1,21127918,9009,24.822,
mech_medium_small,medium,vrt,3,True,288.327,1069,1,21127918,9009,226.194,
mech_medium_small,medium,vrt,4,True,289.202,1069,1,21127918,9009,225.426,
mech_medium_small,medium,geotiff,4,True,362.383,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vsimem,4,True,419.581,21127918,1,21127918,9009,24.959,
mech_medium_small,medium,vsimem,5,True,427.511,21127918,1,21127918,9009,24.740,
mech_medium_small,medium,vrt,5,True,292.728,1069,1,21127918,9009,232.703,
mech_medium_small,medium,geotiff,5,True,340.030,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vsimem,6,True,430.826,21127918,1,21127918,9009,27.049,
mech_medium_small,medium,vrt,6,True,287.900,1069,1,21127918,9009,227.854,
mech_medium_small,medium,geotiff,6,True,316.039,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,geotiff,7,True,322.680,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vsimem,7,True,426.652,21127918,1,21127918,9009,25.274,
mech_medium_small,medium,vrt,7,True,284.564,1069,1,21127918,9009,224.652,
mech_medium_small,medium,geotiff,8,True,330.330,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vrt,8,True,291.067,1069,1,21127918,9009,231.981,
mech_medium_small,medium,vsimem,8,True,414.285,21127918,1,21127918,9009,24.920,
mech_medium_small,medium,vrt,9,True,291.009,1069,1,21127918,9009,231.692,
mech_medium_small,medium,vsimem,9,True,445.562,21127918,1,21127918,9009,25.022,
mech_medium_small,medium,geotiff,9,True,327.404,21127918,1,21127918,9009,0.000,
mech_medium_small,medium,vrt,10,True,292.445,1069,1,21127918,9009,230.453,
mech_medium_small,medium,vsimem,10,True,455.473,21127918,1,21127918,9009,24.770,
mech_medium_small,medium,geotiff,10,True,331.102,21127918,1,21127918,9009,0.000,
mech_medium_medium,medium,vsimem,1,True,2399.115,80914610,1,80914610,64673,144.147,
mech_medium_medium,medium,geotiff,1,True,1318.568,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vrt,1,True,1138.265,1071,1,80914610,64673,923.039,
mech_medium_medium,medium,geotiff,2,True,1299.401,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vsimem,2,True,1705.861,80914610,1,80914610,64673,90.274,
mech_medium_medium,medium,vrt,2,True,1179.978,1071,1,80914610,64673,937.259,
mech_medium_medium,medium,geotiff,3,True,1294.528,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vrt,3,True,1161.680,1071,1,80914610,64673,942.191,
mech_medium_medium,medium,vsimem,3,True,1655.958,80914610,1,80914610,64673,96.823,
mech_medium_medium,medium,vrt,4,True,1188.840,1071,1,80914610,64673,954.039,
mech_medium_medium,medium,vsimem,4,True,1782.171,80914610,1,80914610,64673,140.214,
mech_medium_medium,medium,geotiff,4,True,1329.093,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,geotiff,5,True,1227.280,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vrt,5,True,1134.360,1071,1,80914610,64673,901.474,
mech_medium_medium,medium,vsimem,5,True,1713.456,80914610,1,80914610,64673,91.157,
mech_medium_medium,medium,geotiff,6,True,1294.651,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vsimem,6,True,1722.448,80914610,1,80914610,64673,136.786,
mech_medium_medium,medium,vrt,6,True,1162.626,1071,1,80914610,64673,919.518,
mech_medium_medium,medium,vsimem,7,True,1693.665,80914610,1,80914610,64673,93.313,
mech_medium_medium,medium,vrt,7,True,1153.621,1071,1,80914610,64673,936.122,
mech_medium_medium,medium,geotiff,7,True,1261.711,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,geotiff,8,True,1252.589,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vrt,8,True,1128.892,1071,1,80914610,64673,907.108,
mech_medium_medium,medium,vsimem,8,True,1683.877,80914610,1,80914610,64673,91.091,
mech_medium_medium,medium,vsimem,9,True,1698.008,80914610,1,80914610,64673,90.334,
mech_medium_medium,medium,geotiff,9,True,1310.016,80914610,1,80914610,64673,0.000,
mech_medium_medium,medium,vrt,9,True,1153.046,1071,1,80914610,64673,919.275,
mech_medium_medium,medium,vrt,10,True,1122.418,1071,1,80914610,64673,910.854,
mech_medium_medium,medium,vsimem,10,True,1667.188,80914610,1,80914610,64673,90.683,
mech_medium_medium,medium,geotiff,10,True,1251.125,80914610,1,80914610,64673,0.000,
mech_heavy_small,heavy,vrt,1,True,510.376,638,1,42240034,10493,451.311,
mech_heavy_small,heavy,geotiff,1,True,599.267,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vsimem,1,True,714.490,21127918,1,42240034,10495,55.728,
mech_heavy_small,heavy,vsimem,2,True,727.143,21127918,1,42240034,10495,41.995,
mech_heavy_small,heavy,geotiff,2,True,552.770,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vrt,2,True,527.364,638,1,42240034,10493,450.864,
mech_heavy_small,heavy,vrt,3,True,525.701,638,1,42240034,10493,461.923,
mech_heavy_small,heavy,geotiff,3,True,576.080,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vsimem,3,True,715.646,21127918,1,42240034,10495,54.278,
mech_heavy_small,heavy,vrt,4,True,524.627,638,1,42240034,10493,463.694,
mech_heavy_small,heavy,vsimem,4,True,726.953,21127918,1,42240034,10495,59.304,
mech_heavy_small,heavy,geotiff,4,True,553.998,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vrt,5,True,505.643,638,1,42240034,10493,442.385,
mech_heavy_small,heavy,geotiff,5,True,549.937,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vsimem,5,True,721.388,21127918,1,42240034,10495,50.466,
mech_heavy_small,heavy,vsimem,6,True,738.578,21127918,1,42240034,10495,65.349,
mech_heavy_small,heavy,vrt,6,True,514.371,638,1,42240034,10493,452.301,
mech_heavy_small,heavy,geotiff,6,True,556.172,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vrt,7,True,507.790,638,1,42240034,10493,444.615,
mech_heavy_small,heavy,geotiff,7,True,541.175,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vsimem,7,True,786.331,21127918,1,42240034,10495,64.813,
mech_heavy_small,heavy,vsimem,8,True,730.109,21127918,1,42240034,10495,52.097,
mech_heavy_small,heavy,geotiff,8,True,559.739,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vrt,8,True,516.027,638,1,42240034,10493,451.072,
mech_heavy_small,heavy,vrt,9,True,506.982,638,1,42240034,10493,447.259,
mech_heavy_small,heavy,vsimem,9,True,751.033,21127918,1,42240034,10495,56.239,
mech_heavy_small,heavy,geotiff,9,True,550.800,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vsimem,10,True,710.719,21127918,1,42240034,10495,45.539,
mech_heavy_small,heavy,geotiff,10,True,546.956,21127918,1,42240034,10495,0.000,
mech_heavy_small,heavy,vrt,10,True,534.794,638,1,42240034,10493,459.462,
mech_heavy_medium,heavy,vsimem,1,True,3156.958,80914610,1,161798546,10013,269.029,
mech_heavy_medium,heavy,geotiff,1,True,2144.434,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,1,True,1859.862,639,1,161798546,10013,1612.223,
mech_heavy_medium,heavy,vsimem,2,True,2963.801,80914610,1,161798546,10013,263.962,
mech_heavy_medium,heavy,geotiff,2,True,2096.729,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,2,True,1801.684,639,1,161798546,10013,1548.864,
mech_heavy_medium,heavy,geotiff,3,True,2096.542,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,3,True,1824.725,639,1,161798546,10013,1555.504,
mech_heavy_medium,heavy,vsimem,3,True,3045.294,80914610,1,161798546,10013,307.662,
mech_heavy_medium,heavy,geotiff,4,True,2617.535,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vsimem,4,True,3899.013,80914610,1,161798546,10013,403.170,
mech_heavy_medium,heavy,vrt,4,True,2169.707,639,1,161798546,10013,1874.436,
mech_heavy_medium,heavy,vsimem,5,True,3772.546,80914610,1,161798546,10013,291.472,
mech_heavy_medium,heavy,geotiff,5,True,2368.140,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,5,True,2221.596,639,1,161798546,10013,1865.673,
mech_heavy_medium,heavy,vrt,6,True,2194.140,639,1,161798546,10013,1855.431,
mech_heavy_medium,heavy,vsimem,6,True,3554.166,80914610,1,161798546,10013,332.605,
mech_heavy_medium,heavy,geotiff,6,True,2347.769,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,7,True,2103.726,639,1,161798546,10013,1781.335,
mech_heavy_medium,heavy,geotiff,7,True,2304.805,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vsimem,7,True,3546.405,80914610,1,161798546,10013,307.492,
mech_heavy_medium,heavy,vsimem,8,True,3466.534,80914610,1,161798546,10013,386.579,
mech_heavy_medium,heavy,vrt,8,True,2202.031,639,1,161798546,10013,1908.676,
mech_heavy_medium,heavy,geotiff,8,True,2296.968,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vrt,9,True,2046.315,639,1,161798546,10013,1709.279,
mech_heavy_medium,heavy,geotiff,9,True,2362.415,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vsimem,9,True,3402.605,80914610,1,161798546,10013,388.376,
mech_heavy_medium,heavy,vrt,10,True,2208.240,639,1,161798546,10013,1914.533,
mech_heavy_medium,heavy,geotiff,10,True,2385.635,80914610,1,161798546,10013,0.000,
mech_heavy_medium,heavy,vsimem,10,True,3625.632,80914610,1,161798546,10013,410.882,
